Banco;Cuenta;TipoRec;Fecha Corte;Fecha Trn;ValorTotal;Divipo;%;ot
52;;SIMIT;2006-10-19;2006-10-19;4375755,00;05001000;10;Medellin
52;;SIMIT;2006-10-19;2006-10-19;4540584,00;05001000;10;Medellin
52;;SIMIT;2006-10-19;2006-10-19;5165687,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;138513,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;286046,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;3636016,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;3649712,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;3793617,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;4199319,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;4349997,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;4400520,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;4523992,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;4595990,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;4610952,00;05001000;10;Medellin
52;;SIMIT;2006-11-10;2006-11-10;4679210,00;05001000;10;Medellin
52;;SIMIT;2006-11-23;2006-11-23;79481,00;05001000;10;Medellin
52;;SIMIT;2006-11-23;2006-11-23;161021,00;05001000;10;Medellin
52;;SIMIT;2006-11-23;2006-11-23;3256507,00;05001000;10;Medellin
52;;SIMIT;2006-11-23;2006-11-23;3446378,00;05001000;10;Medellin
52;;SIMIT;2006-11-23;2006-11-23;3510450,00;05001000;10;Medellin
52;;SIMIT;2006-11-23;2006-11-23;3822542,00;05001000;10;Medellin
52;;SIMIT;2006-11-23;2006-11-23;4279863,00;05001000;10;Medellin
52;;SIMIT;2006-11-23;2006-11-23;4316219,00;05001000;10;Medellin
52;;SIMIT;2006-11-23;2006-11-23;4317379,00;05001000;10;Medellin
52;;SIMIT;2006-11-23;2006-11-23;4575388,00;05001000;10;Medellin
52;;SIMIT;2006-11-23;2006-11-23;4800201,00;05001000;10;Medellin
52;;SIMIT;2006-11-23;2006-11-23;5027498,00;05001000;10;Medellin
52;;SIMIT;2006-12-07;2006-12-07;29512,00;05001000;10;Medellin
52;;SIMIT;2006-12-07;2006-12-07;128508,00;05001000;10;Medellin
52;;SIMIT;2006-12-07;2006-12-07;230849,00;05001000;10;Medellin
52;;SIMIT;2006-12-07;2006-12-07;3069046,00;05001000;10;Medellin
52;;SIMIT;2006-12-07;2006-12-07;3162814,00;05001000;10;Medellin
52;;SIMIT;2006-12-07;2006-12-07;3589598,00;05001000;10;Medellin
52;;SIMIT;2006-12-07;2006-12-07;3590384,00;05001000;10;Medellin
52;;SIMIT;2006-12-07;2006-12-07;3854048,00;05001000;10;Medellin
52;;SIMIT;2006-12-07;2006-12-07;3983222,00;05001000;10;Medellin
52;;SIMIT;2006-12-07;2006-12-07;4079516,00;05001000;10;Medellin
52;;SIMIT;2006-12-07;2006-12-07;4139256,00;05001000;10;Medellin
52;;SIMIT;2006-12-07;2006-12-07;4336910,00;05001000;10;Medellin
52;;SIMIT;2006-12-07;2006-12-07;4473198,00;05001000;10;Medellin
52;;SIMIT;2006-12-07;2006-12-07;4600921,00;05001000;10;Medellin
52;;SIMIT;2006-12-07;2006-12-07;4663159,00;05001000;10;Medellin
52;;SIMIT;2006-12-22;2006-12-22;255683,00;05001000;10;Medellin
52;;SIMIT;2006-12-22;2006-12-22;3016686,00;05001000;10;Medellin
52;;SIMIT;2006-12-22;2006-12-22;3153243,00;05001000;10;Medellin
52;;SIMIT;2006-12-22;2006-12-22;3689746,00;05001000;10;Medellin
52;;SIMIT;2006-12-22;2006-12-22;3812753,00;05001000;10;Medellin
52;;SIMIT;2006-12-22;2006-12-22;3929566,00;05001000;10;Medellin
52;;SIMIT;2006-12-22;2006-12-22;4116316,00;05001000;10;Medellin
52;;SIMIT;2006-12-22;2006-12-22;4174795,00;05001000;10;Medellin
52;;SIMIT;2006-12-22;2006-12-22;4220453,00;05001000;10;Medellin
52;;SIMIT;2006-12-22;2006-12-22;4926547,00;05001000;10;Medellin
52;;SIMIT;2006-12-22;2006-12-22;5351878,00;05001000;10;Medellin
52;;SIMIT;2007-01-12;2007-01-12;226428,00;05001000;10;Medellin
52;;SIMIT;2007-01-12;2007-01-12;5165796,00;05001000;10;Medellin
52;;SIMIT;2007-01-12;2007-01-12;3660184,00;05001000;10;Medellin
52;;SIMIT;2007-01-12;2007-01-12;3429181,00;05001000;10;Medellin
52;;SIMIT;2007-01-12;2007-01-12;5508456,00;05001000;10;Medellin
52;;SIMIT;2007-01-12;2007-01-12;5692269,00;05001000;10;Medellin
52;;SIMIT;2007-01-12;2007-01-12;4102318,00;05001000;10;Medellin
52;;SIMIT;2007-01-12;2007-01-12;4805780,00;05001000;10;Medellin
52;;SIMIT;2007-01-23;2007-01-23;396022,00;05001000;10;Medellin
52;;SIMIT;2007-01-23;2007-01-23;3588158,00;05001000;10;Medellin
52;;SIMIT;2007-01-23;2007-01-23;5677381,00;05001000;10;Medellin
52;;SIMIT;2007-01-23;2007-01-23;5872704,00;05001000;10;Medellin
52;;SIMIT;2007-01-23;2007-01-23;2610124,00;05001000;10;Medellin
52;;SIMIT;2007-01-23;2007-01-23;189250,00;05001000;10;Medellin
52;;SIMIT;2007-01-23;2007-01-23;5155455,00;05001000;10;Medellin
52;;SIMIT;2007-01-23;2007-01-23;4320022,00;05001000;10;Medellin
52;;SIMIT;2007-01-23;2007-01-23;2770862,00;05001000;10;Medellin
52;;SIMIT;2007-01-23;2007-01-23;3481057,00;05001000;10;Medellin
52;;SIMIT;2007-01-23;2007-01-23;3073746,00;05001000;10;Medellin
52;;SIMIT;2007-01-23;2007-01-23;87194,00;05001000;10;Medellin
52;;SIMIT;2007-02-12;2007-02-12;3324844,00;05001000;10;Medellin
52;;SIMIT;2007-02-12;2007-02-12;3149190,00;05001000;10;Medellin
52;;SIMIT;2007-02-12;2007-02-12;3530659,00;05001000;10;Medellin
52;;SIMIT;2007-02-12;2007-02-12;299077,00;05001000;10;Medellin
52;;SIMIT;2007-02-12;2007-02-12;3160975,00;05001000;10;Medellin
52;;SIMIT;2007-02-12;2007-02-12;3767243,00;05001000;10;Medellin
52;;SIMIT;2007-02-12;2007-02-12;4043341,00;05001000;10;Medellin
52;;SIMIT;2007-02-12;2007-02-12;3634805,00;05001000;10;Medellin
52;;SIMIT;2007-02-12;2007-02-12;3144621,00;05001000;10;Medellin
52;;SIMIT;2007-02-12;2007-02-12;2938632,00;05001000;10;Medellin
52;;SIMIT;2007-02-12;2007-02-12;3626771,00;05001000;10;Medellin
52;;SIMIT;2007-02-12;2007-02-12;4052176,00;05001000;10;Medellin
