"IDMUNICIPIO";"VALOR_TOTAL";"INDTIPO";"VIGENCIA";"ORIGEN";"CUENTA_RECAUDO";"IDBANCO";"NOM_BANCO";"FEC_TRAN";"FEC_CORTE";"NOMMUNICIPIO"
"68276000";"5116200.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"14/01/2014";"14/01/2014";"FLORIDABLANCA";
"05615000";"22046792.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"02/01/2014";"15/01/2014";"RIONEGRO ANTIOQUIA";
"05154000";"14559277.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"31/01/2014";"31/01/2014";"CAUCASIA";
"68679000";"478289.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"09/01/2014";"31/01/2014";"SAN GIL";
"54261000";"56965455.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"23/01/2014";"23/01/2014";"EL ZULIA";
"54001000";"1351594.20";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"30/11/2013";"31/01/2014";"CUCUTA";
"68276000";"11204980.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"14/01/2014";"14/01/2014";"FLORIDABLANCA";
"05642000";"121584.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"09/01/2014";"15/01/2014";"SALGAR";
"05212000";"3253153.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"15/01/2014";"15/01/2014";"COPACABANA";
"05679000";"1300998.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"13/01/2014";"15/01/2014";"SANTA BARBARA ANTIOQUIA";
"05615000";"14309336.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"02/01/2014";"15/01/2014";"RIONEGRO ANTIOQUIA";
"05376000";"2202828.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"08/01/2014";"15/01/2014";"LA CEJA";
"05642000";"29532.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"09/01/2014";"15/01/2014";"SALGAR";
"54001000";"1351594.20";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"29/11/2013";"31/01/2014";"CUCUTA";
"05088000";"7506240.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"17/01/2014";"31/01/2014";"BELLO";
"20001000";"6975156.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"30/01/2014";"31/01/2014";"VALLEDUPAR";
"05088000";"15850683.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"17/01/2014";"31/01/2014";"BELLO";
"05266000";"16240770.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"23/01/2014";"31/01/2014";"ENVIGADO";
"05360000";"21957072.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"24/01/2014";"31/01/2014";"ITAGUI";
"05360000";"22827048.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"24/01/2014";"31/01/2014";"ITAGUI";
"20001000";"10831953.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"30/01/2014";"31/01/2014";"VALLEDUPAR";
"54001000";"18977724.90";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"31/01/2014";"31/01/2014";"CUCUTA";
"54001000";"21720318.80";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"31/01/2014";"31/01/2014";"CUCUTA";
"54001000";"22777916.40";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"31/01/2014";"31/01/2014";"CUCUTA";
