"IDMUNICIPIO";"VALOR_TOTAL";"INDTIPO";"VIGENCIA";"ORIGEN";"CUENTA_RECAUDO";"IDBANCO";"NOM_BANCO";"FEC_TRAN";"FEC_CORTE";"NOMMUNICIPIO"
"05001000";"336058.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"08/01/2014";"08/01/2014";"MEDELLIN";
"05001000";"105954.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"08/01/2014";"08/01/2014";"MEDELLIN";
"05001000";"1153280.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"08/01/2014";"08/01/2014";"MEDELLIN";
"05001000";"81839.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"16/01/2014";"16/01/2014";"MEDELLIN";
"05001000";"124741.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"16/01/2014";"16/01/2014";"MEDELLIN";
"68276000";"5116200.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"14/01/2014";"14/01/2014";"FLORIDABLANCA";
"05001000";"358389.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"15/01/2014";"15/01/2014";"MEDELLIN";
"05001000";"440012.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"15/01/2014";"15/01/2014";"MEDELLIN";
"05001000";"696616.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"21/01/2014";"21/01/2014";"MEDELLIN";
"05001000";"564882.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"21/01/2014";"21/01/2014";"MEDELLIN";
"05615000";"22046792.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"02/01/2014";"15/01/2014";"RIONEGRO ANTIOQUIA";
"05001000";"229189.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"22/01/2014";"22/01/2014";"MEDELLIN";
"05001000";"266361.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"20/01/2014";"20/01/2014";"MEDELLIN";
"05154000";"14559277.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"31/01/2014";"31/01/2014";"CAUCASIA";
"68307000";"679700.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"10/01/2014";"31/01/2014";"GIRON";
"68679000";"478289.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"09/01/2014";"31/01/2014";"SAN GIL";
"68307000";"841073.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"08/01/2014";"31/01/2014";"GIRON";
"68307000";"866087.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"07/01/2014";"31/01/2014";"GIRON";
"68307000";"562274.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"03/01/2014";"31/01/2014";"GIRON";
"68307000";"447193.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"31/01/2014";"31/01/2014";"GIRON";
"68307000";"579394.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"24/01/2014";"31/01/2014";"GIRON";
"68307000";"856892.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"17/01/2014";"31/01/2014";"GIRON";
"05001000";"13436299.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"16/01/2014";"16/01/2014";"MEDELLIN";
"05001000";"36996088.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"16/01/2014";"16/01/2014";"MEDELLIN";
"05001000";"27086798.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"16/01/2014";"16/01/2014";"MEDELLIN";
"05001000";"24488442.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"16/01/2014";"16/01/2014";"MEDELLIN";
"05001000";"6979769.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"16/01/2014";"16/01/2014";"MEDELLIN";
"05001000";"23822051.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"20/01/2014";"20/01/2014";"MEDELLIN";
"05001000";"4745663.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"21/01/2014";"21/01/2014";"MEDELLIN";
"05001000";"25906637.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"21/01/2014";"21/01/2014";"MEDELLIN";
"54261000";"56965455.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"23/01/2014";"23/01/2014";"EL ZULIA";
"54001000";"1351594.20";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"30/11/2013";"31/01/2014";"CUCUTA";
"05079000";"3268695.00";"POLCA";"2013";"SDF";"086044559";"52";"BANCO AV VILLAS";"17/01/2014";"31/01/2014";"BARBOSA ANTIOQUIA";
"68276000";"11204980.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"14/01/2014";"14/01/2014";"FLORIDABLANCA";
