"IDMUNICIPIO";"VALOR_TOTAL";"INDTIPO";"VIGENCIA";"ORIGEN";"CUENTA_RECAUDO";"IDBANCO";"NOM_BANCO";"FEC_TRAN";"FEC_CORTE";"NOMMUNICIPIO"
"27361000";"45174.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"15/01/2014";"31/01/2014";"ISTMINA";
"27361000";"84150.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"15/01/2014";"31/01/2014";"ISTMINA";
"68861000";"1239858.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"14/01/2014";"31/01/2014";"VELEZ";
"27361000";"169400.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"13/01/2014";"31/01/2014";"ISTMINA";
"68307000";"205100.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"10/01/2014";"31/01/2014";"GIRON";
"27361000";"90000.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"09/01/2014";"31/01/2014";"ISTMINA";
"27361000";"338800.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"07/02/2014";"28/02/2014";"ISTMINA";
"68679000";"2668512.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"06/02/2014";"28/02/2014";"SAN GIL";
"27361000";"45100.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"07/02/2014";"28/02/2014";"ISTMINA";
"68077000";"5404485.00";"POLCA";"2013";"SDF";"220070023528";"02";"BANCO POPULAR";"21/02/2014";"28/02/2014";"BARBOSA SANTANDER";
"68307000";"63100.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"18/02/2014";"28/02/2014";"GIRON";
"27361000";"84700.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"18/02/2014";"28/02/2014";"ISTMINA";
"27361000";"169400.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"14/02/2014";"28/02/2014";"ISTMINA";
"27361000";"45300.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"28/01/2014";"31/01/2014";"ISTMINA";
"27361000";"60000.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"23/01/2014";"31/01/2014";"ISTMINA";
"27361000";"84700.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"12/02/2014";"28/02/2014";"ISTMINA";
"27361000";"84700.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"11/02/2014";"28/02/2014";"ISTMINA";
"27361000";"169400.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"29/01/2014";"31/01/2014";"ISTMINA";
"27361000";"84150.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"23/01/2014";"31/01/2014";"ISTMINA";
"27361000";"84350.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"29/01/2014";"31/01/2014";"ISTMINA";
"27361000";"169400.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"15/01/2014";"31/01/2014";"ISTMINA";
"68307000";"147300.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"13/01/2014";"31/01/2014";"GIRON";
"27361000";"84150.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"09/01/2014";"31/01/2014";"ISTMINA";
"27361000";"84150.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"24/01/2014";"31/01/2014";"ISTMINA";
"05308000";"14294654.00";"SIMIT";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"10/12/2013";"31/01/2014";"GIRARDOTA";
"27361000";"129000.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"15/01/2014";"31/01/2014";"ISTMINA";
"68861000";"953458.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"14/01/2014";"31/01/2014";"VELEZ";
"27361000";"169400.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"14/01/2014";"31/01/2014";"ISTMINA";
"27361000";"45100.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"14/01/2014";"31/01/2014";"ISTMINA";
"27361000";"84400.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"13/01/2014";"31/01/2014";"ISTMINA";
"27361000";"84700.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"13/01/2014";"31/01/2014";"ISTMINA";
"27361000";"160000.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"09/01/2014";"31/01/2014";"ISTMINA";
"68307000";"531610.00";"SIMIT";"2014";"SDF";"220070014501";"02";"BANCO POPULAR";"15/01/2014";"31/01/2014";"GIRON";
