"IDMUNICIPIO";"VALOR_TOTAL";"INDTIPO";"VIGENCIA";"ORIGEN";"CUENTA_RECAUDO";"IDBANCO";"NOM_BANCO";"FEC_TRAN";"FEC_CORTE";"NOMMUNICIPIO"
"05615000";"22046792.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"02/01/2014";"15/01/2014";"RIONEGRO ANTIOQUIA";
"05154000";"14559277.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"31/01/2014";"31/01/2014";"CAUCASIA";
"05642000";"121584.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"09/01/2014";"15/01/2014";"SALGAR";
"05212000";"3253153.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"15/01/2014";"15/01/2014";"COPACABANA";
"05679000";"1300998.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"13/01/2014";"15/01/2014";"SANTA BARBARA ANTIOQUIA";
"05615000";"14309336.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"02/01/2014";"15/01/2014";"RIONEGRO ANTIOQUIA";
"05376000";"2202828.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"08/01/2014";"15/01/2014";"LA CEJA";
"05642000";"29532.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"09/01/2014";"15/01/2014";"SALGAR";
"05088000";"7506240.00";"POLCA";"2014";"SDF";"086044559";"52";"BANCO AV VILLAS";"17/01/2014";"31/01/2014";"BELLO";
"05088000";"15850683.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"17/01/2014";"31/01/2014";"BELLO";
"05266000";"16240770.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"23/01/2014";"31/01/2014";"ENVIGADO";
"05360000";"21957072.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"24/01/2014";"31/01/2014";"ITAGUI";
"05360000";"22827048.00";"SIMIT";"2014";"SDF";"086042058";"52";"BANCO AV VILLAS";"24/01/2014";"31/01/2014";"ITAGUI";
"05172000";"11243650.00";"POLCA";"2014";"SDF";"220070023528";"02";"BANCO POPULAR";"01/11/2013";"31/01/2014";"CHIGORODO";
