Fecha;Cod. Trn.;Descripcion Movimiento;Referencia;Debito;Credito;Imp. GMF;Oficina;
02/11/2010;252;DEPOSITO AHORROS;0;;74,400.00;;COROZAL;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;COROZAL;
02/11/2010;252;DEPOSITO AHORROS;0;;68,300.00;;COROZAL;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;COROZAL;
02/11/2010;252;DEPOSITO AHORROS;0;;70,800.00;;COROZAL;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;COROZAL;
02/11/2010;252;DEPOSITO AHORROS;0;;70,813.00;;CIMITARRA;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;CIMITARRA;
02/11/2010;252;DEPOSITO AHORROS;0;;35,406.00;;BOSCONIA;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;BOSCONIA;
02/11/2010;252;DEPOSITO AHORROS;0;;70,813.00;;CIMITARRA;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;CIMITARRA;
02/11/2010;252;DEPOSITO AHORROS;0;;70,813.00;;CIMITARRA;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;CIMITARRA;
02/11/2010;252;DEPOSITO AHORROS;0;;70,813.00;;BOSCONIA;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;BOSCONIA;
02/11/2010;252;DEPOSITO AHORROS;0;;215,438.00;;EL COPEY;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;EL COPEY;
02/11/2010;252;DEPOSITO AHORROS;0;;141,625.00;;BOSCONIA;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;BOSCONIA;
02/11/2010;252;DEPOSITO AHORROS;0;;136,647.00;;VALLEDUPAR SUCURSAL;
02/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;VALLEDUPAR SUCURSAL;
02/11/2010;221;INTERESES DE AHORROS;0;;16,059.00;;AVENIDA CHILE;
03/11/2010;252;DEPOSITO AHORROS;0;;141,625.00;;BOSCONIA;
03/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;BOSCONIA;
03/11/2010;252;DEPOSITO AHORROS;0;;66,300.00;;COROZAL;
03/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;COROZAL;
03/11/2010;252;DEPOSITO AHORROS;0;;441,804.00;;SAN LUIS (ANTIOQUIA);
03/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;SAN LUIS (ANTIOQUIA);
03/11/2010;252;DEPOSITO AHORROS;0;;96,175.00;;COROZAL;
03/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;COROZAL;
03/11/2010;252;DEPOSITO AHORROS;0;;5,408,292.00;;CAJIBIO;
03/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;CAJIBIO;
03/11/2010;252;DEPOSITO AHORROS;0;;453,392.00;;SABANA DE TORRES;
03/11/2010;264;ND PRD AUT COMISION CONSIGNACION NACIONAL;115;9,765.00;;39.00;SABANA DE TORRES;
03/11/2010;252;DEPOSITO AHORROS;0;;782,587.00;;SABANA DE TORRES;
